Datum;Cas;Vysledek;Mod;Nejlepsi shoda;Nejlepsi shoda MN;Uplynuly cas 1;Uplynuly cas 2;Cas celkem;Nazev Pole 1;Pole 1;Nazev Pole 2;Pole 2;Nazev Pole 3;Pole 3;Nazev Pole 4;Pole 4;Nazev Pole 5;Pole 5;Nazev Pole 6;Pole 6;Nazev Pole 7;Pole 7;Nazev Pole 8;Pole 8;LOD Sigma;Mg;Mg +/-;Al;Al +/-;Si;Si +/-;P;P +/-;S;S +/-;Cl;Cl +/-;K;K +/-;Ca;Ca +/-;Ti;Ti +/-;Cr;Cr +/-;Mn;Mn +/-;Fe;Fe +/-;Co;Co +/-;Ni;Ni +/-;Cu;Cu +/-;Zn;Zn +/-;As;As +/-;Se;Se +/-;Rb;Rb +/-;Sr;Sr +/-;Y;Y +/-;Zr;Zr +/-;Mo;Mo +/-;Ag;Ag +/-;Cd;Cd +/-;In;In +/-;Sn;Sn +/-;Sb;Sb +/-;Ba;Ba +/-;W;W +/-;Au;Au +/-;Hg;Hg +/-;Tl;Tl +/-;Pb;Pb +/-;Bi;Bi +/-;Th;Th +/-;U;U +/-;LE;LE +/-;2. nejlepsi shoda;2. nejlepsi shoda MN;3. nejlepsi shoda;;Nazev Pole 9;Pole 9;Nazev Pole 10;Pole 10;Nazev Pole 11;Pole 11;Nazev Pole 12;Pole 12;Nazev Pole 13;Pole 13;Nazev Pole 14;Pole 14;Nazev Pole 15;Pole 15;Nazev Pole 16;Pole 16
14.01.2019;9:53:34;#1;STD kontrola;;0;14,91;;14,91;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:09:59;#2-1;Geochem;;0;29,69;29,83;59,52;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;49;vzorek;1071;;;;;3;<LOD;2,38;5,54;0,13;25,23;0,23;0,565;0,0169;<LOD;0,0296;<LOD;0,78;1,6612;0,0168;6,7;0,06;0,4385;0,0226;<LOD;0,0219;0,0779;0,0033;2,9609;0,0288;<LOD;0,0821;0,0026;0,0007;0,0049;0,0006;0,0167;0,0006;0,0171;0,0005;<LOD;0,0036;0,0102;0,0002;0,0169;0,0003;<LOD;0,0245;0,0363;0,0005;<LOD;0,0192;<LOD;0,1182;<LOD;0,141;<LOD;0,0016;<LOD;0,23;<LOD;0,29;<LOD;0,36;<LOD;0,0658;<LOD;0,0203;<LOD;0,001;<LOD;0,0235;0,0093;0,0004;<LOD;0,0769;0,0025;0,0006;<LOD;0,0404;55,54;0,46;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:11:12;#2-2;Geochem;;0;29,69;29,83;59,52;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;49;vzorek;1071;;;;;3;<LOD;3,22;5,36;0,12;24,6;0,12;0,5424;0,0158;<LOD;0,0297;<LOD;0,77;1,6304;0,0108;6,6358;0,0307;0,4429;0,022;<LOD;0,022;0,0728;0,0032;2,9204;0,0177;<LOD;0,0812;0,004;0,0007;0,0051;0,0006;0,0161;0,0006;0,0169;0,0004;<LOD;0,0035;0,0103;0,0002;0,017;0,0002;<LOD;0,0246;0,036;0,0003;<LOD;0,019;<LOD;0,1178;<LOD;0,14;<LOD;0,0015;<LOD;0,23;<LOD;0,29;<LOD;0,35;<LOD;0,0631;<LOD;0,0201;<LOD;0,001;<LOD;0,0226;0,0097;0,0004;<LOD;0,075;<LOD;0,0838;<LOD;0,0399;57,68;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:12:26;#2-3;Geochem;;0;29,68;29,84;59,52;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;49;vzorek;1071;;;;;3;<LOD;3,25;5,29;0,12;24,46;0,12;0,5151;0,0156;<LOD;0,03;<LOD;0,78;1,6111;0,0108;6,5029;0,0302;0,4429;0,0221;<LOD;0,0225;0,0733;0,0032;2,9547;0,0178;<LOD;0,0817;<LOD;0,0103;0,0056;0,0006;0,0169;0,0006;0,0165;0,0004;<LOD;0,0036;0,0106;0,0002;0,0172;0,0002;<LOD;0,0245;0,0366;0,0004;<LOD;0,0188;<LOD;0,1167;<LOD;0,1402;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,36;<LOD;0,0674;0,0009;0,0003;<LOD;0,001;<LOD;0,0227;0,01;0,0004;<LOD;0,0757;0,0019;0,0006;<LOD;0,039;58,04;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:16:40;#3-1;Geochem;;0;29,7;29,86;59,56;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;50;vzorek;1072;;;;;3;<LOD;3,5;5,18;0,13;24,64;0,13;0,2382;0,0142;<LOD;0,0311;<LOD;0,84;1,6486;0,0115;6,5393;0,0318;0,4529;0,023;<LOD;0,0233;0,0454;0,0029;2,5352;0,0168;<LOD;0,0794;<LOD;0,0108;0,0026;0,0005;0,0099;0,0005;0,0059;0,0003;<LOD;0,0036;0,0097;0,0002;0,017;0,0002;<LOD;0,0253;0,0388;0,0004;<LOD;0,0205;<LOD;0,1262;<LOD;0,1499;<LOD;0,0017;<LOD;0,24;<LOD;0,31;<LOD;0,37;<LOD;0,0628;<LOD;0,0179;<LOD;0,0011;<LOD;0,0216;0,0056;0,0003;<LOD;0,081;0,0026;0,0006;<LOD;0,0411;58,63;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:17:55;#3-2;Geochem;;0;29,7;29,86;59,55;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;50;vzorek;1072;;;;;3;<LOD;2,49;5,14;0,13;24,39;0,23;0,2282;0,0139;<LOD;0,0307;<LOD;0,84;1,6032;0,017;6,43;0,06;0,4536;0,0232;<LOD;0,023;0,0395;0,0027;2,5071;0,0259;<LOD;0,0771;<LOD;0,0108;0,0034;0,0005;0,0104;0,0005;0,0057;0,0003;<LOD;0,0035;0,0097;0,0002;0,0168;0,0003;<LOD;0,0256;0,0378;0,0005;<LOD;0,0198;<LOD;0,1222;<LOD;0,1458;<LOD;0,0016;<LOD;0,23;<LOD;0,3;<LOD;0,37;<LOD;0,0597;<LOD;0,0175;<LOD;0,001;<LOD;0,0215;0,0056;0,0003;<LOD;0,0782;<LOD;0,0876;<LOD;0,0411;58,06;0,49;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:19:07;#3-3;Geochem;;0;29,7;29,86;59,56;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;50;vzorek;1072;;;;;3;<LOD;3,48;5,15;0,13;24,45;0,13;0,2215;0,0139;<LOD;0,0318;<LOD;0,84;1,6391;0,0114;6,4816;0,0315;0,4634;0,0232;<LOD;0,0238;0,038;0,0027;2,5268;0,0167;<LOD;0,0782;<LOD;0,0108;0,0025;0,0005;0,0099;0,0005;0,0056;0,0003;<LOD;0,0035;0,01;0,0002;0,0174;0,0003;<LOD;0,0252;0,0389;0,0004;<LOD;0,0204;<LOD;0,1253;<LOD;0,1487;<LOD;0,0017;<LOD;0,24;<LOD;0,31;<LOD;0,37;<LOD;0,0621;<LOD;0,0178;<LOD;0,001;<LOD;0,0224;0,0055;0,0003;<LOD;0,0807;0,0025;0,0006;<LOD;0,0405;58,94;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:29:31;#4-1;Geochem;;0;29,67;29,85;59,53;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;52;vzorek;1074;;;;;3;<LOD;3,28;5,3;0,12;24,98;0,13;0,1335;0,0125;<LOD;0,0299;<LOD;0,82;1,6821;0,0113;5,8285;0,028;0,4813;0,0226;0,0086;0,0025;0,038;0,0027;2,5721;0,0165;<LOD;0,0751;<LOD;0,0103;0,0042;0,0006;0,0101;0,0005;0,0044;0,0003;<LOD;0,0033;0,0099;0,0002;0,016;0,0002;<LOD;0,0243;0,0396;0,0004;<LOD;0,0189;<LOD;0,1165;<LOD;0,1389;<LOD;0,0015;0,0642;0,0016;<LOD;0,29;<LOD;0,35;<LOD;0,0584;<LOD;0,0167;<LOD;0,001;<LOD;0,0215;0,009;0,0004;<LOD;0,0752;0,002;0,0006;<LOD;0,0386;58,82;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:30:45;#4-2;Geochem;;0;29,67;29,85;59,52;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;52;vzorek;1074;;;;;3;<LOD;3,21;5,49;0,12;24,95;0,12;0,1207;0,0123;<LOD;0,0302;<LOD;0,82;1,6842;0,0112;5,8157;0,0278;0,4491;0,0224;<LOD;0,0209;0,0422;0,0027;2,6118;0,0166;<LOD;0,0749;0,0025;0,0007;0,0043;0,0006;0,0111;0,0005;0,0047;0,0003;<LOD;0,0034;0,0106;0,0002;0,0161;0,0002;<LOD;0,0243;0,0402;0,0004;<LOD;0,0189;<LOD;0,1171;<LOD;0,1399;<LOD;0,0015;0,0604;0,0016;<LOD;0,29;<LOD;0,35;<LOD;0,0569;<LOD;0,0165;<LOD;0,001;<LOD;0,0223;0,0092;0,0004;<LOD;0,0754;0,0024;0,0006;<LOD;0,0375;58,67;0,19;;0;;;;;;;;;;;;;;;;;;
14.01.2019;10:31:59;#4-3;Geochem;;0;29,67;29,86;59,53;research;kh_sedlec;segment;7;vrstva;258;hrob;131;excel.id;52;vzorek;1074;;;;;3;<LOD;3,2;5,55;0,12;24,92;0,12;0,1132;0,0122;<LOD;0,03;<LOD;0,82;1,6678;0,0111;5,7985;0,0277;0,4266;0,0223;<LOD;0,0214;0,0389;0,0027;2,6065;0,0165;<LOD;0,0748;0,0032;0,0007;0,0042;0,0006;0,0102;0,0005;0,0041;0,0003;<LOD;0,0033;0,0101;0,0002;0,016;0,0002;<LOD;0,0244;0,0405;0,0004;<LOD;0,0189;<LOD;0,1163;<LOD;0,1392;<LOD;0,0015;0,0624;0,0016;<LOD;0,29;<LOD;0,35;<LOD;0,0588;<LOD;0,0167;<LOD;0,001;<LOD;0,0225;0,0087;0,0004;<LOD;0,0748;0,0019;0,0006;<LOD;0,0379;58,72;0,19;;0;;;;;;;;;;;;;;;;;;
